id	shell	line	assert	expect	bash32	notes
# {sp} = a literal space (TSV cannot carry trailing spaces). Run from evals/files/ferry/fixtures (--cwd).
T0.P	both	ferry{sp}	set_eq	ship|fetch|dock|status|help	same	top-level commands (help is the named default arm)
T0.Pp	both	ferry s	set_eq	ship|status	same	prefix narrows
T0.Nd	both	ferry -	set_empty	-	same	no top-level options (-h/--help are undocumented fall-throughs)
T0.Nu	both	ferry bogus{sp}	set_empty	-	same	unknown command offers nothing
T0.Ne	both	ferry help{sp}	set_empty	-	same	help takes nothing
T0.B	both	ferry d	buf	ferry dock{sp}	same	unique prefix inserts with a space
T0.Bu	both	ferry s	buf_unchanged	-	same	ambiguous prefix leaves the line alone
T1.P	both	ferry ship{sp}	set_eq	eu|us	same	region
T1.Nb	both	ferry ship -	set_empty	-	same	options are parsed from $4 only: none at the region slot
T1.F	both	ferry ship eu{sp}	set_eq	dir|file with space.yaml|plain|x:y.txt	same	FILE completes files
T1.Fd	both	ferry ship eu d	buf	ferry ship eu dir/	same	directory: slash, no space
T1.Fs	both	ferry ship eu f	buf	ferry ship eu file\ with\ space.yaml{sp}	expect:ferry ship eu file with space.yaml{sp}	space in a file name is escaped (3.2: no compopt, unquoted)
T1.Nb3	both	ferry ship eu -	set_empty	-	same	still no options at the FILE slot
T1.Fc	both	ferry ship eu x:	buf	ferry ship eu x:y.txt{sp}	same	a ':' in a file name: bash 4+ splits COMP_WORDS there, completion must not
T1.Fcn	both	ferry ship eu x:	set_not	--force|--tag=	same	no flags inside a file name
T1.O	both	ferry ship eu plain{sp}	set_eq	--force|--tag=	same	options offered after the positionals
T1.Od	both	ferry ship eu plain -	set_eq	--force|--tag=	same	dash prefix at $4
T1.Ot	both	ferry ship eu plain --ta	buf	ferry ship eu plain --tag=	same	same-word value: no trailing space after =
T1.Of	both	ferry ship eu plain --fo	buf	ferry ship eu plain --force{sp}	same	bare flag keeps its space
T1.Ov	both	ferry ship eu plain --tag=	set_empty	-	same	free-form value: nothing offered
T1.Ovm	zsh	ferry ship eu plain --tag=	msg	tag name	same	zsh names the value it expects
T1.Ow	zsh	ferry ship eu plain --tag{sp}	msg_not	tag name	same	next-word form is not accepted (=-): zsh does not ask for a value
T1.Owb	bash	ferry ship eu plain --tag{sp}	set_eq	--force	same	next-word form: the bare --tag counts as present, --force remains
T1.Or	both	ferry ship eu plain --force -	set_eq	--tag=	same	a flag already on the line is not re-offered
T1.Or2	both	ferry ship eu plain --tag=x -	set_eq	--force	same	(bash 4+ splits --tag=x into three words)
T2.F	both	ferry fetch eu{sp}	set_empty	-	same	fetch's FILE names an object in the bucket: no local files
T2.Fm	zsh	ferry fetch eu{sp}	msg	remote file name	same	zsh says what it expects
T2.O	both	ferry fetch eu plain -	set_eq	--force	same	fetch parses --tag but ignores it: not offered
T2.Ot	both	ferry fetch eu plain --t	set_empty	-	same
T3.P	both	ferry dock{sp}	set_eq	north|south|east	same	docks
T3.M	both	ferry dock north{sp}	set_eq	ro|rw	same	mode is required by the code (help says optional)
T3.Ne	both	ferry dock north ro{sp}	set_empty	-	same	exact arity: nothing after the mode
T3.Nem	zsh	ferry dock north ro{sp}	msg	no more arguments	same	zsh says so
T3.Nb	both	ferry dock -	set_empty	-	same	no options anywhere in dock
T4.E	both	ferry status{sp}	set_eq	--json	same	the one literal flag
T4.P	both	ferry status -	set_eq	--json	same
T4.B	both	ferry status --j	buf	ferry status --json{sp}	same
T4.Ne	both	ferry status --json{sp}	set_empty	-	same	nothing after --json
T4.Ne2	both	ferry status x{sp}	set_empty	-	same	nothing after a stray word either
